Time t / s,Events N,Channel n,Energy E / keV
,0,426,20.5765348837209
,0,427,20.6279534883721
,0,428,20.6793720930233
,0,429,20.7307906976744
,0,430,20.7822093023256
,1,431,20.8336279069767
,0,432,20.8850465116279
,1,433,20.9364651162791
,0,434,20.9878837209302
,0,435,21.0393023255814
,0,436,21.0907209302326
,0,437,21.1421395348837
,0,438,21.1935581395349
,0,439,21.244976744186
,0,440,21.2963953488372
,0,441,21.3478139534884
,0,442,21.3992325581395
,0,443,21.4506511627907
,1,444,21.5020697674419
,0,445,21.553488372093
,0,446,21.6049069767442
,0,447,21.6563255813953
,0,448,21.7077441860465
,0,449,21.7591627906977
,0,450,21.8105813953488
,1,451,21.862
,0,452,21.9134186046512
,0,453,21.9648372093023
,0,454,22.0162558139535
,0,455,22.0676744186046
,0,456,22.1190930232558
,0,457,22.170511627907
,0,458,22.2219302325581
,0,459,22.2733488372093
,0,460,22.3247674418605
,0,461,22.3761860465116
,0,462,22.4276046511628
,0,463,22.4790232558139
,0,464,22.5304418604651
,0,465,22.5818604651163
,0,466,22.6332790697674
,0,467,22.6846976744186
,0,468,22.7361162790698
,0,469,22.7875348837209
,0,470,22.8389534883721
,0,471,22.8903720930233
,1,472,22.9417906976744
,0,473,22.9932093023256
,0,474,23.0446279069767
,0,475,23.0960465116279
,0,476,23.1474651162791
,0,477,23.1988837209302
,0,478,23.2503023255814
,0,479,23.3017209302326
,1,480,23.3531395348837
,0,481,23.4045581395349
,0,482,23.455976744186
,0,483,23.5073953488372
,0,484,23.5588139534884
,0,485,23.6102325581395
,0,486,23.6616511627907
,0,487,23.7130697674419
,0,488,23.764488372093
,0,489,23.8159069767442
,0,490,23.8673255813953
,0,491,23.9187441860465
,0,492,23.9701627906977
,0,493,24.0215813953488
,1,494,24.073
,0,495,24.1244186046512
,0,496,24.1758372093023
,1,497,24.2272558139535
,0,498,24.2786744186046
,0,499,24.3300930232558
,0,500,24.381511627907
,0,501,24.4329302325581
,0,502,24.4843488372093
,0,503,24.5357674418605
,0,504,24.5871860465116
,0,505,24.6386046511628
,0,506,24.690023255814
,0,507,24.7414418604651
,0,508,24.7928604651163
,0,509,24.8442790697674
,0,510,24.8956976744186
,0,511,24.9471162790698
,0,512,24.9985348837209
,0,513,25.0499534883721
,0,514,25.1013720930233
,0,515,25.1527906976744
,0,516,25.2042093023256
,0,517,25.2556279069767
,0,518,25.3070465116279
,0,519,25.3584651162791
,0,520,25.4098837209302
,0,521,25.4613023255814
,0,522,25.5127209302326
,0,523,25.5641395348837
,1,524,25.6155581395349
,0,525,25.666976744186
,0,526,25.7183953488372
,0,527,25.7698139534884
,0,528,25.8212325581395
,0,529,25.8726511627907
,1,530,25.9240697674419
